URL,title
https://bib-pubdb1.desy.de/record/624697,Metastability-engineering strategy in CoCrFeMnNi-based medium- and high-entropy alloys: Unraveling the interplay with recrystallization, grain growth, and mechanical properties
https://bib-pubdb1.desy.de/record/623130,Formation of crystalline and quasicrystalline phases in as-cast and aged Al-Mg-Zn and Al-Mg-Zn-Ga alloys
https://bib-pubdb1.desy.de/record/635881,How rapid heating and quenching cycles affect phase evolution in advanced γ-TiAl alloys: An in situ synchrotron radiation study
https://bib-pubdb1.desy.de/record/642057,None
https://bib-pubdb1.desy.de/record/629864,A Combined Experimental and Numerical Assessment of the Role of Microsegregation and Phase Formation on Hot Cracking Susceptibility in Laser Powder Bed Fusion Processed CM247LC
https://bib-pubdb1.desy.de/record/623808,Structural differences between single crystalline and polycrystalline NiMnGa-based alloys
https://bib-pubdb1.desy.de/record/634424,Tailoring σ-phase precipitation for enhanced strength-plasticity in arc-based direct energy-deposited FeCoCrNiMnMo high-entropy alloy
https://bib-pubdb1.desy.de/record/636127,Synchrotron-radiation computed tomography of the water drop penetration time test on hydrophobic soils
https://bib-pubdb1.desy.de/record/625260,Heat treatment effect on microstructural evolution of cold spray additive manufacturing Ti6Al4V
https://bib-pubdb1.desy.de/record/641974,Understanding the Dynamics of Nanoparticle Formation and Evolution in Functional Oxides via In Situ SAXS/WAXS
https://bib-pubdb1.desy.de/record/629867,Influence of a Standard Heat Treatment on the Microstructure and Properties of Inconel X‐750 Produced by Laser Powder Bed Fusion
https://bib-pubdb1.desy.de/record/638991,How austenite improves the fatigue behavior of high-speed steels
https://bib-pubdb1.desy.de/record/638998,In-situ synchrotron HEXRD study on the stress relaxation behavior and internal stress evolution mechanism of a PM nickel-base superalloy
https://bib-pubdb1.desy.de/record/623581,Dislocation dissociation assisted formation mechanism of sigma phase and its impact on producing heterogeneous lamellar microstructure in CoCrV medium-entropy alloy
https://bib-pubdb1.desy.de/record/623571,Unravelling the cracking mechanism in wire-based laser-directed energy deposition processing high-strength aluminum alloy
https://bib-pubdb1.desy.de/record/627004,None
https://bib-pubdb1.desy.de/record/638822,Effect of solution and aging on the texture evolution of an extruded metastable β titanium alloy Ti-4Al-6V-5Mo-3Cr-1Zr
https://bib-pubdb1.desy.de/record/623883,Extending the fossil record of late Oligocene non-biting midges (Chironomidae, Diptera) of New Zealand
